stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,,"COLUMBUS ST & BROADWAY",,  41.392864, -81.536557,,,0,
00002,,"10800 BROOKPARK RD (HOME DEPOT)",,  41.418556, -81.760788,,,0,
00004,,"EUCLID AV & E 101ST ST",,  41.503712, -81.617399,,,0,
00005,,"10081 W RIDGEWOOD DR",,  41.384525, -81.755926,,,0,
00014,,"102 PROSPECT AV W",,  41.498030, -81.692012,,,0,
00019,,"1028 PROSPECT AV E",,  41.499173, -81.684386,,,0,
00020,,"1027 SUPERIOR AV E",,  41.502891, -81.687717,,,0,
00024,,"10406 KINSMAN RD",,  41.469942, -81.612328,,,0,
00025,,"10427 DETROIT AV",,  41.480662, -81.757410,,,0,
00026,,"10428 DETROIT AV",,  41.480827, -81.757532,,,0,
00028,,"10600 QUINCY AV",,  41.493415, -81.613989,,,0,
00031,,"10603 DETROIT AV",,  41.481748, -81.761694,,,0,
00032,,"10603 DETROIT AV",,  41.481869, -81.761641,,,0,
00037,,"10611 QUINCY AV",,  41.493498, -81.613700,,,0,
00039,,"ST. CLAIR AV & E 106TH ST",,  41.539790, -81.612945,,,0,
00041,,"10708 KINSMAN RD",,  41.469361, -81.609566,,,0,
00043,,"MILES AV & E ELMARGE RD",,  41.445139, -81.609919,,,0,
00047,,"10705 LORAIN AV",,  41.464507, -81.760770,,,0,
00065,,"BUCKEYE RD & MARTIN LUTHER KING DR",,  41.481774, -81.609536,,,0,
00070,,"11100 ST. CLAIR AV",,  41.540586, -81.607557,,,0,
00072,,"11121 W PLEASANT VALLEY RD",,  41.363918, -81.764214,,,0,
00078,,"11201 W PLEASANT VALLEY RD",,  41.363823, -81.763924,,,0,
00083,,"11216 STOKES BLVD",,  41.493478, -81.602883,,,0,
00084,,"PEARL RD & IDLEWOOD TRAIL",,  41.330401, -81.836673,,,0,
00097,,"11479 PEARL RD",,  41.328525, -81.836823,,,0,
00099,,"W PLEASANT VALLEY RD & BICENTENNIAL DR",,  41.363930, -81.769060,,,0,
00105,,"DETROIT AV & HIRD AV",,  41.483796, -81.770080,,,0,
00107,,"1175 E 152ND ST",,  41.546397, -81.575313,,,0,
00109,,"BROOKPARK RD & CHEVROLET BLVD",,  41.418513, -81.769634,,,0,
00110,,"11801 LAKESHORE BLVD",,  41.555459, -81.602253,,,0,
00111,,"11801 LAKESHORE BLVD",,  41.555531, -81.602347,,,0,
00113,,"11820 EDGEWATER DR",,  41.490405, -81.770444,,,0,
